code,stock_name,auction_start_price,auction_end_price,price_diff,max_gain,max_daily_gain,today_gain,next_day_gain,trade_date,higher_score,rising_wave_score,weipan_exceed,zaopan_exceed,rising_wave
603618,杭电股份,31.41,31.41,0.0,90.36,10.02,10.02,0.0,2026-04-23,100.0,100,0,0,1
600703,三安光电,15.5,15.51,0.01,64.39,10.01,3.82,0.0,2026-04-23,86.45,80,0,0,1
600487,亨通光电,69.52,69.52,0.0,68.09,10.0,5.69,0.0,2026-04-23,80.0,80,0,0,1
002428,云南锗业,76.49,76.88,0.39,94.58,10.01,2.18,0.0,2026-04-23,150.99,100,0,0,1
002947,恒铭达,78.48,78.6,0.12,72.29,10.0,7.72,0.0,2026-04-23,115.29,100,0,0,1
000890,法尔胜,16.76,16.76,0.0,129.9,9.97,9.97,0.0,2026-04-23,100.0,100,0,0,1
603738,泰晶科技,37.0,37.0,0.0,86.87,9.99,4.17,0.0,2026-04-23,100.0,100,0,0,1
002730,电光科技,28.5,28.54,0.04,72.15,8.69,2.66,0.0,2026-04-23,114.04,100,0,0,1
002008,大族激光,103.6,103.6,0.0,72.95,10.0,10.0,0.0,2026-04-23,100.0,100,0,0,1
003018,金富科技,54.75,54.77,0.02,126.79,10.01,4.92,0.0,2026-04-23,103.65,100,0,0,1
600821,金开新能,9.57,9.58,0.01,67.41,9.4,5.97,0.0,2026-04-23,60.45,50,0,0,1
600330,天通股份,25.59,25.6,0.01,70.31,10.03,-1.04,0.0,2026-04-23,83.91,80,0,0,1
002980,华盛昌,75.7,75.9,0.2,212.07,10.0,-6.55,0.0,2026-04-23,76.42,50,0,0,1
002990,盛视科技,49.19,49.19,0.0,100.67,10.0,1.36,0.0,2026-04-23,100.0,100,0,0,1
001400,江顺科技,205.94,205.94,0.0,86.65,10.0,-2.42,0.0,2026-04-23,50.0,50,0,0,1
002565,顺灏股份,19.76,19.76,0.0,69.22,10.0,-9.98,0.0,2026-04-23,50.0,50,0,0,1
600103,青山纸业,5.14,5.14,0.0,66.16,10.1,-6.55,0.0,2026-04-23,80.0,80,0,0,1
600105,永鼎股份,48.41,48.5,0.09,92.38,10.0,6.52,0.0,2026-04-23,98.59,80,0,0,1
603629,利通电子,116.48,116.48,0.0,118.95,10.01,7.65,0.0,2026-04-23,80.0,80,0,0,1
000601,韶能股份,7.51,7.51,0.0,63.05,8.63,5.18,0.0,2026-04-23,100.0,100,0,0,1
001267,汇绿生态,50.92,50.92,0.0,66.95,10.0,10.0,0.0,2026-04-23,50.0,50,0,0,1
002957,科瑞技术,47.01,47.03,0.02,108.98,10.0,-5.68,0.0,2026-04-23,54.25,50,0,0,1
600186,莲花控股,9.45,9.45,0.0,69.96,10.01,10.01,0.0,2026-04-23,100.0,100,0,0,1
603906,龙蟠科技,30.37,30.45,0.08,77.76,10.01,6.39,0.0,2026-04-23,106.34,80,0,0,1
603083,剑桥科技,164.33,164.33,0.0,69.79,10.0,-4.56,0.0,2026-04-23,80.0,80,0,0,1
603052,可川科技,94.66,94.66,0.0,66.1,10.01,3.61,0.0,2026-04-23,50.0,50,0,0,1
